brand,product_name,category,shade_name,price,finish,image_url,swatch_url,color_hex,lab_L,lab_a,lab_b
얼터너티브스테레오,바미 크림 치크,cheek,4호 로즈 베리,"15,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/1587853046865646766.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/1587853046865646766.jpg,#bf6e7c,55.86,33.48,6.46
얼터너티브스테레오,바미 크림 치크,cheek,5호 텐더 로즈,"15,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/3400543398583500354.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/3400543398583500354.jpg,#b15e5d,49.83,33.32,16.12
얼터너티브스테레오,바미 크림 치크,cheek,6호 플럼 잼,"15,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/3117793516463304153.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/3117793516463304153.jpg,#97485c,41.09,35.12,4.08
얼터너티브스테레오,바미 크림 치크,cheek,0호 누디 애프리콧,"15,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/5473935325459018359.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/5473935325459018359.jpg,#dda494,72.31,18.74,16.51
얼터너티브스테레오,바미 크림 치크,cheek,2호 스트로베리 밀크,"15,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/666792039334292861.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/10/666792039334292861.jpg,#df9a9f,70.36,26.76,7.61
얼터너티브스테레오,바미 크림 치크,cheek,7호 타로 라떼,"15,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/12/1541745413110605590.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/12/1541745413110605590.jpg,#aa787b,55.58,19.76,6.25
에뛰드,하트 팝 블러셔,cheek,밀크 드리즐,"13,000원",매트https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/5089546134818343160.png,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/5089546134818343160.png,,,,,
에뛰드,하트 팝 블러셔,cheek,스트로베리 모찌,"13,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/4324165960070648390.png,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/4324165960070648390.png,#9b747d,52.88,16.5,0.9
에뛰드,하트 팝 블러셔,cheek,러블리 프라페,"13,000원",쉬어,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/2425168892547735974.png,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/2425168892547735974.png,#d299a2,68.68,22.77,3.3
에뛰드,하트 팝 블러셔,cheek,사우어 젤리,"13,000원",쉬어,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/2155711272446325047.png,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/2155711272446325047.png,#c18dac,64.44,24.44,-8.63
에뛰드,하트 팝 블러셔,cheek,쿨 펀치 에이드,"13,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/7200370611991911589.png,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/7200370611991911589.png,#e196b1,70.14,32.06,-2.43
에뛰드,하트 팝 블러셔,cheek,피치 스쿱,"13,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/2971019617155780291.png,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/1/2971019617155780291.png,#d88d7d,65.98,26.51,20.37
에뛰드,하트 팝 블러셔,cheek,라벤더 스노우,"13,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/8/5314337700455545270.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/8/5314337700455545270.jpg,#6f7e9b,52.59,1.51,-17.28
에뛰드,하트 팝 블러셔,cheek,쉘 위 댄스,"13,000원",쉬어,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/8/6362656763983788365.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/8/6362656763983788365.jpg,#d1a398,70.8,15.38,12.03
에이오유,촉촉 크림 블러셔 ,cheek,02 핑키볼,"16,800원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/246068297624516871.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/246068297624516871.jpg,#e6609d,59.53,57.68,-6.66
에이오유,촉촉 크림 블러셔 ,cheek,03 벚꽃볼,"16,800원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/7088021173034421816.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/7088021173034421816.jpg,#ea6283,59.74,55.32,8.68
에이오유,촉촉 크림 블러셔 ,cheek,04 모브콜,"16,800원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/3656468433137640752.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/3656468433137640752.jpg,#bc4160,46.11,51.71,9.42
에이오유,촉촉 크림 블러셔 ,cheek,05 로지볼,"16,800원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/6055762474664065094.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/6055762474664065094.jpg,#d15655,52.79,48.73,25.39
에이오유,촉촉 크림 블러셔 ,cheek,06 감귤볼,"16,800원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/8110895912718874310.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/8110895912718874310.jpg,#ff7856,65.89,49.07,42.72
에이오유,촉촉 크림 블러셔 ,cheek,07 펌킨볼,"16,800원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/2888735927627997682.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/2888735927627997682.jpg,#e95043,55.47,58.31,40.22
에이오유,촉촉 크림 블러셔 ,cheek,08 써니볼,"16,800원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/3652194986785218122.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/3652194986785218122.jpg,#e13637,50.72,64.61,41.21
에이오유,촉촉 크림 블러셔 ,cheek,01 츄르볼,"16,800원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/2823599093074507880.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/2823599093074507880.jpg,#fa7c83,66.83,48.75,18.93
웨이크메이크,쉬어 브리즈 블러셔,cheek,06 베이지 로즈,"14,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/4964693707575122818.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/4964693707575122818.jpg,#d29196,66.68,25.16,7.19
웨이크메이크,쉬어 브리즈 블러셔,cheek,07 베일리,"14,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/2516169503490968574.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/8/2516169503490968574.jpg,#e1a7a0,73.72,20.48,12.06
웨이크메이크,쉬어 브리즈 블러셔,cheek,01 밀키 애프리콧,"14,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/2055993301095561936.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/2055993301095561936.jpg,#eeba9e,79.44,14.93,21.53
웨이크메이크,쉬어 브리즈 블러셔,cheek,02 살몬 코랄,"14,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/6159235626396786345.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/6159235626396786345.jpg,#e9a391,73.24,23.82,19.74
웨이크메이크,쉬어 브리즈 블러셔,cheek,03 베이지 핑크,"14,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/4671166189625629846.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/4671166189625629846.jpg,#c88b8e,63.9,24.01,7.79
웨이크메이크,쉬어 브리즈 블러셔,cheek,04 베리쉬,"14,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/4957204050161562422.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/4957204050161562422.jpg,#ea9fa5,73.04,28.57,8.22
웨이크메이크,쉬어 브리즈 블러셔,cheek,05 모브 라일락,"14,000원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/6901814203423999163.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/3/6901814203423999163.jpg,#e0a0b8,72.63,27.24,-2.96
컬러그램,틴토리 솜 블러셔,cheek,01 말랑살구,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/6/3287336155494634118.png,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/6/3287336155494634118.png,#f1cbb3,84.37,9.73,16.96
컬러그램,틴토리 솜 블러셔,cheek,02 도란도화,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/6/52964125272969751.png,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/6/52964125272969751.png,#f0c8d5,84.25,16.07,-1.24
컬러그램,틴토리 솜 블러셔,cheek,03 썸탠저린,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/6/4738093457316946562.png,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/6/4738093457316946562.png,#f1b7a4,79.18,18.61,17.7
