Image,Region,L,a,b,RGB_R,RGB_G,RGB_B,HEX,Description
56.jpg,eyeshadow,159.55,140.01,137.99,178,143,135,#b28f87,밝은 무채색
57.jpg,lips,110.74,160.31,146.28,157,79,74,#9d4f4a,중간 빨강
57.jpg,cheeks,176.07,139.13,138.32,195,161,151,#c3a197,밝은 무채색
57.jpg,eyeshadow,121.53,142.29,138.56,141,104,96,#8d6860,밝은 무채색
58.jpg,lips,155.26,169.47,138.83,218,116,131,#da7483,밝은 빨강
58.jpg,cheeks,216.08,141.60,134.60,241,203,201,#f1cbc9,매우 밝은 무채색
58.jpg,eyeshadow,179.34,143.23,135.42,203,162,160,#cba2a0,밝은 중성
59.jpg,lips,135.14,156.83,142.16,178,107,104,#b26b68,밝은 빨강
59.jpg,cheeks,189.99,138.78,140.16,209,175,161,#d1afa1,매우 밝은 무채색
59.jpg,eyeshadow,143.62,140.41,141.31,163,126,112,#a37e70,밝은 무채색
