brand,product_name,category,shade_name,price,finish,image_url,swatch_url,lab_L,lab_a,lab_b
에뛰드,왓츠 인 마이 아이즈 & 더블,eye,09 플라워 소다,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/9037978520610578155.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/9037978520610578155.jpg,206.52,146.63,131.52
에뛰드,왓츠 인 마이 아이즈 & 더블,eye,10 베리 토프,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/4818820387816564256.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/4818820387816564256.jpg,201.51,138.34,134.58
더샘,샘물 싱글 섀도우,eye,BE01 뉴트럴리 베이지,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/1582708862551331501.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/1582708862551331501.jpg,190.76,132.31,132.93
더샘,샘물 싱글 섀도우,eye,RD01 썸머 수박 젤리,"5,600원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/3471210332197210775.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/3471210332197210775.jpg,163.45,146.59,136.4
더샘,샘물 싱글 섀도우,eye,CR02 입덕주의 살구,"5,600원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/7629773199943890820.png,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/7629773199943890820.png,215.02,140.01,138.28
더샘,샘물 싱글 섀도우,eye,PK03 눈꽃 딸기 소르베,"5,600원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/426125170454703938.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/10/426125170454703938.jpg,229.34,130.81,129.13
더샘,샘물 싱글 섀도우,eye,BR01 고능소비 애쉬,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/1193583267008435451.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/1193583267008435451.jpg,176.64,131.2,130.72
더샘,샘물 싱글 섀도우,eye,PK03 체리 루비 젤리,"5,600원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/8943145778162285547.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/8943145778162285547.jpg,162.16,145.23,129.07
더샘,샘물 싱글 섀도우,eye,BR02 기강잡는 토프,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/8769435225367196611.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/8769435225367196611.jpg,172.66,133.45,133.47
더샘,샘물 싱글 섀도우,eye,PK02 백도 말랑 젤리,"5,600원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/4471262816121386158.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/5/4471262816121386158.jpg,159.1,142.1,133.7
더샘,샘물 싱글 섀도우,eye,BR03 추구미는 모카,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/1418848479283579518.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/1418848479283579518.jpg,150.62,132.25,133.1
더샘,샘물 싱글 섀도우,eye,BR04 필승조합 브라운,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/4524322221741912135.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/4524322221741912135.jpg,156.48,135.33,131.3
더샘,샘물 싱글 섀도우,eye,BR05 뮤어리한 초코,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/1757783350486677920.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/1757783350486677920.jpg,174.92,136.49,134.69
더샘,샘물 싱글 섀도우,eye,CR01 트임갱신 로즈,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/7409296926480116761.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/7409296926480116761.jpg,153.94,138.11,133.6
더샘,샘물 싱글 섀도우,eye,CR02 물기어린 복숭아,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/2662443414998716972.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/2662443414998716972.jpg,178.07,138.82,135.23
더샘,샘물 싱글 섀도우,eye,PK01 울먹이는 핑크,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/858874153704144569.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/858874153704144569.jpg,182.33,142.06,130.66
더샘,샘물 싱글 섀도우,eye,PP01 사방트임 모브,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/6679677650452211342.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/6679677650452211342.jpg,159.63,134.86,130.56
더샘,샘물 싱글 섀도우,eye,PP02 뮤어리한 바인,"4,800원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/4249140579997470988.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/4249140579997470988.jpg,157.81,135.79,130.51
